"","IncPurity_2"
"YEAR",2680377.89986289
"CORN_SQKM",1980345.10960955
"AG_SQKM",628777.969840348
"SDI_CDL_AG",757197.841128845
"GDD",1137251.16252544
"TP",570733.209052597
"BV2",1182655.18799704
"BV4",517252.754493594
"BV8",385838.71640573
"BV9",535922.875887708
"BV15",337016.935355892
"BV18",1107590.96007437
"BV19",356577.040006236
"SLOPE",343901.089659342
"ELEVATION",478884.615745254
"S_PH_H2O",362269.279678289
"T_CACO3",148287.114913962
"T_CASO4",5820.21731633938
"T_CEC_CLAY",255797.674817421
"T_CEC_SOIL",347237.884392922
"T_ESP",203862.466005729
"T_GRAVEL",202317.840028204
"T_OC",293480.047842502
"T_REF_BULK_DENSITY",273525.8190388
"T_SILT",194713.717769833
"T_ECE",56804.7964866356
"T_SAND",209127.961941775
"PERC_IRR",2286407.41278537
"FRR",1732823.47273654
