"","GEOID","county.y"
"1","04001","Apache"
"6","04005","Coconino"
"11","04007","Gila"
"16","04012","La Paz"
"21","04019","Pima"
"26","05013","Calhoun"
"31","05025","Cleveland"
"36","05039","Dallas"
"41","06003","Alpine"
"46","06015","Del Norte"
"51","06051","Mono"
"56","06057","Nevada"
"61","06075","San Francisco"
"66","06105","Trinity"
"71","08014","Broomfield"
"76","08019","Clear Creek"
"81","08031","Denver"
"86","08047","Gilpin"
"91","08053","Hinsdale"
"96","08065","Lake"
"101","08079","Mineral"
"106","08097","Pitkin"
"111","08111","San Juan"
"116","08117","Summit"
"121","11001","District of Columbia"
"126","12003","Baker"
"131","12005","Bay"
"136","12037","Franklin"
"141","12045","Gulf"
"146","12073","Leon"
"151","12077","Liberty"
"156","12087","Monroe"
"161","12089","Nassau"
"166","12103","Pinellas"
"171","12123","Taylor"
"176","12129","Wakulla"
"181","13029","Bryan"
"186","13039","Camden"
"191","13053","Chattahoochee"
"196","13059","Clarke"
"201","13063","Clayton"
"206","13065","Clinch"
"211","13089","DeKalb"
"216","13097","Douglas"
"221","13101","Echols"
"226","13127","Glynn"
"231","13179","Liberty"
"236","13183","Long"
"241","13191","McIntosh"
"246","13215","Muscogee"
"251","13225","Peach"
"256","13239","Quitman"
"261","13247","Rockdale"
"266","13263","Talbot"
"271","13265","Taliaferro"
"276","13281","Towns"
"281","13289","Twiggs"
"286","16003","Adams"
"291","16015","Boise"
"296","16017","Bonner"
"301","16079","Shoshone"
"306","16085","Valley"
"311","17031","Cook"
"316","17043","DuPage"
"321","18013","Brown"
"326","21013","Bell"
"331","21071","Floyd"
"336","21095","Harlan"
"341","21115","Johnson"
"346","21119","Knott"
"351","21121","Knox"
"356","21129","Lee"
"361","21131","Leslie"
"366","21133","Letcher"
"371","21159","Martin"
"376","21193","Perry"
"381","21195","Pike"
"386","22033","East Baton Rouge"
"391","22051","Jefferson"
"396","22059","LaSalle"
"401","22071","Orleans"
"406","22087","St. Bernard"
"411","22089","St. Charles"
"416","23023","Sagadahoc"
"421","24510","Baltimore"
"426","25007","Dukes"
"431","25019","Nantucket"
"436","25025","Suffolk"
"441","26013","Baraga"
"446","26039","Crawford"
"451","26053","Gogebic"
"456","26083","Keweenaw"
"461","26095","Luce"
"466","26119","Montmorency"
"471","26135","Oscoda"
"476","26143","Roscommon"
"481","26153","Schoolcraft"
"486","27031","Cook"
"491","27075","Lake"
"496","27123","Ramsey"
"501","28129","Smith"
"506","29510","St. Louis"
"511","30053","Lincoln"
"516","30061","Mineral"
"521","30093","Silver Bow"
"526","31075","Grant"
"531","32009","Esmeralda"
